Date,Open,High,Low,Close,Volume
2024-01-02,14800.0,14866.26,14751.02,14820.96,4148466016
2024-01-03,14820.96,15316.73,14713.51,15133.31,14646512980
2024-01-04,15133.31,15150.84,14905.71,14970.17,5218629586
2024-01-05,14970.17,15137.07,14963.74,15061.33,3941581359
2024-01-08,15061.33,15165.04,14816.33,14947.52,5459357846
2024-01-09,14947.52,14979.96,14674.86,14744.75,7239894674
2024-01-10,14744.75,14797.57,14324.56,14502.65,8190204805
2024-01-11,14502.65,15309.19,14353.23,14999.08,8794881266
2024-01-12,14999.08,15117.1,14981.71,15099.22,5161470251
2024-01-15,15099.22,15149.18,14833.41,14969.87,5240777551
2024-01-16,14969.87,15166.38,14883.5,15110.09,5107738882
2024-01-17,15110.09,15291.48,14661.55,14812.46,9229734454
2024-01-18,14812.46,15846.46,14569.41,15465.58,7772314387
2024-01-19,15465.58,15513.51,14773.16,15048.37,13638140201
2024-01-22,15048.37,15432.84,14983.89,15367.37,6951785485
2024-01-23,15367.37,15435.28,14226.07,14563.67,8798483181
2024-01-24,14563.67,16035.63,14303.73,15540.01,9030385499
2024-01-25,15540.01,15544.22,15136.12,15245.03,6619133979
2024-01-26,15245.03,15401.27,15182.85,15365.32,4605931614
2024-01-29,15365.32,15658.28,14157.37,14393.56,7858835890
2024-01-30,14393.56,14510.85,14300.63,14503.06,5311599779
2024-01-31,14503.06,14736.0,14433.59,14708.06,5155204581
2024-02-01,14708.06,15336.88,14426.07,15300.57,7374955789
2024-02-02,15300.57,15437.54,15256.65,15437.3,8238139483
2024-02-05,15437.3,15459.32,15309.93,15335.01,3307904888
2024-02-06,15335.01,15397.88,15032.25,15152.05,4511239827
2024-02-07,15152.05,15485.47,15062.31,15335.35,4525889980
2024-02-08,15335.35,15814.58,15145.36,15738.67,7015737786
2024-02-09,15738.67,16208.71,14117.35,14510.12,7362494340
2024-02-12,14510.12,14520.11,14503.12,14514.1,4333098347
2024-02-13,14514.1,15848.27,13919.54,15471.04,8853309360
2024-02-14,15471.04,16887.4,15314.25,16661.52,9225905154
2024-02-15,16661.52,16731.4,16658.21,16669.0,4050602654
2024-02-16,16669.0,18594.58,16202.67,17962.38,9190320619
2024-02-19,17962.38,18623.79,17800.5,18604.56,14050912739
2024-02-20,18604.56,18852.11,18498.32,18784.35,8884935803
